,0,,Tue,23:49:58,69,toulouse
,0,,Tue,23:49:54,109,toulouse
,0,,Tue,23:49:44,869,toulouse
😌🏾,2,people modifier,Tue,23:49:41,487,toulouse
😭,1,people,Tue,23:49:32,572,toulouse
😐,1,people,Tue,23:49:32,285,toulouse
,0,,Tue,23:49:22,4280,toulouse
,0,,Tue,23:49:21,1644,toulouse
😭,1,people,Tue,23:49:08,487,toulouse
,0,,Tue,23:49:01,224,toulouse
😏,1,people,Tue,23:48:54,2901,toulouse
😐,1,people,Tue,23:48:50,221,toulouse
,0,,Tue,23:48:43,471,toulouse
,0,,Tue,23:48:38,4280,toulouse
,0,,Tue,23:48:18,206,toulouse
,0,,Tue,23:48:10,349,toulouse
,0,,Tue,23:47:58,349,toulouse
,0,,Tue,23:47:50,93,toulouse
,0,,Tue,23:47:49,69,toulouse
😂😌,2,people people,Tue,23:47:49,471,toulouse
,0,,Tue,23:47:37,442,toulouse
,0,,Tue,23:47:36,411,toulouse
,0,,Tue,23:47:28,4280,toulouse
,0,,Tue,23:47:26,5000,toulouse
🤔,1,people,Tue,23:47:15,221,toulouse
,0,,Tue,23:47:15,2438,toulouse
,0,,Tue,23:47:14,308,toulouse
,0,,Tue,23:47:13,326,toulouse
,0,,Tue,23:47:10,185,toulouse
🍁🎵🔥,3,nature symbols nature,Tue,23:47:08,282,toulouse
,0,,Tue,23:47:07,487,toulouse
,0,,Tue,23:46:53,704,toulouse
,0,,Tue,23:46:47,109,toulouse
😂😌,2,people people,Tue,23:46:45,487,toulouse
😭,1,people,Tue,23:46:37,507,toulouse
,0,,Tue,23:46:30,4280,toulouse
,0,,Tue,23:46:24,858,toulouse
,0,,Tue,23:46:24,358,toulouse
😭,1,people,Tue,23:46:23,869,toulouse
,0,,Tue,23:46:20,4177,toulouse
,0,,Tue,23:46:16,4177,toulouse
,0,,Tue,23:46:10,1101,toulouse
,0,,Tue,23:46:08,445,toulouse
,0,,Tue,23:45:55,93,toulouse
,0,,Tue,23:45:54,229,toulouse
,0,,Tue,23:45:54,274,toulouse
🙄,1,people,Tue,23:45:47,221,toulouse
,0,,Tue,23:45:24,69,toulouse
🏿🙏,2,modifier people,Tue,23:45:18,466,toulouse
😂,1,people,Tue,23:45:09,1301,toulouse
😭,1,people,Tue,23:44:53,487,toulouse
,0,,Tue,23:44:50,524,toulouse
😘❤️,2,people symbols,Tue,23:44:46,100,toulouse
,0,,Tue,23:44:28,869,toulouse
,0,,Tue,23:44:24,67,toulouse
,0,,Tue,23:44:06,31,toulouse
,0,,Tue,23:44:05,31,toulouse
,0,,Tue,23:43:57,69,toulouse
,0,,Tue,23:43:46,1263,toulouse
😭,1,people,Tue,23:43:46,487,toulouse
,0,,Tue,23:43:46,25,toulouse
,0,,Tue,23:43:34,128,toulouse
,0,,Tue,23:43:30,221,toulouse
,0,,Tue,23:43:14,38,toulouse
,0,,Tue,23:43:05,109,toulouse
,0,,Tue,23:43:02,518,toulouse
,0,,Tue,23:43:02,274,toulouse
,0,,Tue,23:42:57,59,toulouse
,0,,Tue,23:42:38,356,toulouse
,0,,Tue,23:42:37,222,toulouse
,0,,Tue,23:42:26,2293,toulouse
,0,,Tue,23:42:24,17,toulouse
,0,,Tue,23:42:22,69,toulouse
,0,,Tue,23:42:21,2668,toulouse
,0,,Tue,23:42:16,376,toulouse
😂,1,people,Tue,23:42:12,487,toulouse
,0,,Tue,23:42:11,600,toulouse
,0,,Tue,23:42:00,149,toulouse
,0,,Tue,23:41:27,57,toulouse
,0,,Tue,23:41:27,2293,toulouse
😒,1,people,Tue,23:41:25,869,toulouse
😒,1,people,Tue,23:41:18,221,toulouse
,0,,Tue,23:41:12,264,toulouse
,0,,Tue,23:41:09,502,toulouse
,0,,Tue,23:41:06,678,toulouse
,0,,Tue,23:41:02,221,toulouse
,0,,Tue,23:41:00,4280,toulouse
,0,,Tue,23:40:57,209,toulouse
😔,1,people,Tue,23:40:54,487,toulouse
,0,,Tue,23:40:51,116,toulouse
😂,1,people,Tue,23:40:50,658,toulouse
,0,,Tue,23:40:50,4280,toulouse
,0,,Tue,23:40:50,299,toulouse
,0,,Tue,23:40:37,0,toulouse
,0,,Tue,23:40:36,813,toulouse
,0,,Tue,23:40:36,4280,toulouse
😪,1,people,Tue,23:40:24,1004,toulouse
,0,,Tue,23:40:18,524,toulouse
,0,,Tue,23:40:16,109,toulouse
,0,,Tue,23:40:12,224,toulouse
🙄,1,people,Tue,23:39:57,487,toulouse
,0,,Tue,23:39:50,221,toulouse
😊,1,people,Tue,23:39:49,635,toulouse
,0,,Tue,23:39:42,86,toulouse
,0,,Tue,23:39:27,857,toulouse
,0,,Tue,23:39:26,224,toulouse
,0,,Tue,23:39:17,94,toulouse
😁😭,2,people people,Tue,23:39:15,92,toulouse
😂😭,2,people people,Tue,23:39:12,487,toulouse
,0,,Tue,23:39:09,69,toulouse
,0,,Tue,23:39:06,524,toulouse
,0,,Tue,23:39:00,785,toulouse
😪,1,people,Tue,23:38:38,487,toulouse
😂,1,people,Tue,23:38:33,111,toulouse
,0,,Tue,23:38:24,59,toulouse
